query,kind,top1_r,r_rank15,background_r_sd,top1_over_sd,prox_frac_top15,profile_sd,min_effect,n_dep_lines,frac_dep_lines,n_lines
GPRIN3,null,0.3436308918039669,0.2798089088667528,0.08610217479716704,3.9909664606436066,0.0,0.1378700020480088,-0.671014130115509,8,0.006622516556291391,1208
ZNF280A,null,0.15876981434894347,0.1371152159890934,0.04380322809741472,3.6246144689576907,0.26666666666666666,0.13179328730665688,-0.5891177654266357,7,0.005794701986754967,1208
ZC3H13,null,0.38505664314922644,0.1881139294876727,0.04939058744404087,7.7961543499658195,0.06666666666666667,0.2516054591207386,-1.7058478593826294,368,0.304635761589404,1208
EXTL1,null,0.24139317219226264,0.1800416091099236,0.0481459144272542,5.013783102136201,0.13333333333333333,0.12778486241563733,-0.9210792779922485,14,0.011589403973509934,1208
OR4C12,null,0.21638221213300923,0.15666066857465585,0.04694083081325806,4.609680067100427,0.4666666666666667,0.11121114065413154,-0.6763259172439575,3,0.0027522935779816515,1090
TEX10,null,0.3726695169038658,0.3053761788687784,0.06151958206848582,6.057738111565788,0.0,0.2197546092702823,-1.796175479888916,1013,0.8385761589403974,1208
UGT1A5,null,0.35107058301918015,0.29210628124389726,0.08634429980382495,4.06593815476894,,0.17507459983390364,-0.9100204110145569,18,0.014900662251655629,1208
RDH11,null,0.18394746562119565,0.14764242581272802,0.04576529188856113,4.019366162224187,0.0,0.12742007112253548,-0.6813872456550598,2,0.0016556291390728477,1208
SNRPD2,null,0.2441414696219933,0.15670016326905056,0.041077867376058654,5.943382293606748,0.2,0.43532815817637177,-3.7177248001098633,1208,1.0,1208
CCDC68,null,0.25633222680071155,0.1848470735154296,0.06094813425779751,4.205743619919214,0.0,0.11560519468403128,-0.3878026306629181,0,0.0,1208
HNRNPUL2,null,0.26011067076013333,0.19425214985975273,0.06423485430057395,4.0493696699769615,0.2,0.1771642127890334,-1.092278003692627,133,0.11009933774834436,1208
UBE2T,null,0.7079997536815822,0.34369290886289017,0.060820811061098656,11.640748311796568,0.0,0.22140431763577326,-1.6871002912521362,110,0.09105960264900662,1208
SFTPB,null,0.3091921840441726,0.2646705904200649,0.07750531587166887,3.989302934473867,0.4,0.1314866641330048,-1.0168416500091553,24,0.019867549668874173,1208
KRT20,null,0.2975989939829095,0.2133390598063677,0.06713800346374256,4.432645873117539,0.2,0.12193558457253074,-0.6161162257194519,3,0.0024834437086092716,1208
RPL32,null,0.25270051024052187,0.18439197366970775,0.055965422150548984,4.5152971340187245,0.0,0.44595584002285193,-3.837480306625366,1207,0.9991721854304636,1208
NWD2,null,0.305995929183771,0.2589080320462954,0.07988695951224521,3.830361438863716,0.0,0.130206696670278,-0.712456226348877,8,0.006622516556291391,1208
SLCO4C1,null,0.18840961291133543,0.15481602815524784,0.047317283214492724,3.9818349683615772,0.0,0.10086983953215949,-0.3596574664115906,0,0.0,1208
RLN1,null,0.37113940027730735,0.2641599281909312,0.07827603459932227,4.741418010979835,0.06666666666666667,0.10556757706092461,-0.7165784239768982,2,0.0016556291390728477,1208
DBF4B,null,0.29824631568885934,0.23897129747583426,0.0749106157565904,3.9813624901704343,0.06666666666666667,0.16925062540122301,-0.751249372959137,24,0.019867549668874173,1208
MICB,null,0.28490619030360254,0.23852582530245456,0.07755022063833748,3.6738282361863095,0.06666666666666667,0.1441808461457512,-0.8219545483589172,29,0.024006622516556293,1208
CTH,null,0.25086168302941564,0.1909027563179062,0.059437119041882897,4.220623190916164,0.06666666666666667,0.1061063387267291,-0.49238213896751404,0,0.0,1208
TEKTIP1,null,0.31106415943883414,0.20888864353191502,0.06537328986494662,4.758276049460803,0.13333333333333333,0.12537357003280264,-0.6526409983634949,1,0.0008278145695364238,1208
MEOX2,null,0.17996023462719563,0.15955201592976512,0.047557674792699095,3.784041911460788,0.0,0.11658943991896921,-0.7888910174369812,1,0.0008278145695364238,1208
DUSP16,null,0.3411926082090572,0.2862143817741323,0.09162362506113375,3.723849694676502,0.0,0.13901362635726483,-0.6072397232055664,7,0.005794701986754967,1208
INPPL1,null,0.2715702515998775,0.17290733884821968,0.0478623717859227,5.67398232612768,0.2,0.15503713018961676,-0.6829811334609985,7,0.005794701986754967,1208
CNKSR2,null,0.22785809385510333,0.18502343712123717,0.05705454221036813,3.9936889339144717,0.0,0.12711359795395277,-0.6295082569122314,7,0.005794701986754967,1208
HOXB3,null,0.24008394578501233,0.15591989409189855,0.04794056022453777,5.007950358955722,0.0,0.27300646618360175,-1.0080540180206299,56,0.046357615894039736,1208
