Term,Correlation,F-stat,p-val,FDR
penal,-0.0459264899320729,39.114033025705496,4.085234550254062e-10,1.1527324899699845e-07
SPR,-0.045579425403443,38.52387452581904,5.523862716486679e-10,1.5411576978997833e-07
21p,-0.0454706051354235,38.33976298137187,6.069169411779077e-10,1.6560829193833657e-07
21p11_2,-0.0454706051354235,38.33976298137187,6.069169411779077e-10,1.6560829193833657e-07
mammary carcinoma,-0.0453827683120986,38.19147668179664,6.547317410757647e-10,1.7671352024622081e-07
~ UVB,-0.0450393549957182,37.614500088053504,8.795083553651639e-10,2.3482873088249874e-07
~ q21,-0.0449248264315536,37.42306047208246,9.70017923213701e-10,2.56239521822547e-07
~ proviral,0.0448258341098149,37.25798628043162,1.0555173665560711e-09,2.758900181995137e-07
instrumental,0.0447690564398114,37.16347258480177,1.107826446315436e-09,2.8654623425477706e-07
~ ubiquitin specific peptidase 17,-0.0447282097493561,37.095552725966094,1.1470127787272742e-09,2.936234464801747e-07
~ tubulin tyrosine ligase like family member 3,-0.0446252867684296,36.92468956132055,1.2518408957640606e-09,3.1718838043589173e-07
~ GTF2I repeat domain containing 1,0.0445759612210347,36.84294451098415,1.3053341953178862e-09,3.274015495347317e-07
~ trunk,-0.0442587854773567,36.31947995463044,1.7065426505868106e-09,4.2375160556721097e-07
~ polyprotein,0.0441980917686303,36.21974092733704,1.7959724975770423e-09,4.415425058152034e-07
8p23_1,-0.0441771344523171,36.18533344358853,1.8279001903214654e-09,4.449861728026697e-07
FANCN,-0.044124484903326,36.098966569547095,1.910569114746606e-09,4.605955503715822e-07
~ ribosomal subunit,-0.0438164324096024,35.59571424813282,2.4724282769533355e-09,5.903160244714257e-07
~ 43b,-0.0433908960349521,34.9063769098629,3.520081739228225e-09,8.324490444454863e-07
u3,-0.0432482306058655,34.67678667171304,3.9597870183089856e-09,9.275987872795324e-07
~ reparation,-0.0427240397096142,33.839751919903556,6.083023878440404e-09,1.4116594946313428e-06
~ RNA exosome,-0.0426625262759381,33.74220057887176,6.395243705536101e-09,1.470373115297842e-06
HDM2,-0.0425692239172652,33.59450686530709,6.898764837754557e-09,1.571589263176912e-06
~ family with sequence similarity 86 member a,-0.0424750152905162,33.445709031470706,7.446217658129829e-09,1.6808820969911073e-06
CLSPN,0.0419447661356593,32.61440041387371,1.1410287564315375e-08,2.552512166752388e-06
~ FANCB,-0.0418624817262907,32.486340049247104,1.2186041862606522e-08,2.701710763306987e-06
~ dopachrome tautomerase,-0.0418429359133605,32.45595785106467,1.2377713104109722e-08,2.7199203016650312e-06
~ help,0.0416821561856263,32.20658246539137,1.4069500390981846e-08,3.064559335162019e-06
~ large ribosomal subunit,-0.0416562167982533,32.16644007020456,1.4362697752874394e-08,3.1012186774054268e-06
~ TINF2,-0.0414806870850345,31.89546099843864,1.6508612465718915e-08,3.5106648214060315e-06
~ dyskeratosis,-0.0414781554353479,31.891561119593973,1.6541733482522077e-08,3.5106648214060315e-06
~ vulva,-0.0412900016109119,31.60239041730436,1.9192524532983626e-08,4.038725226089121e-06
~ ankyrin repeat domain 20 family member a2,-0.0410746204179539,31.27299924949736,2.2734353241341147e-08,4.743838028031446e-06
responsible,-0.0408677343340441,30.958233051132293,2.6729374903526095e-08,5.530975901912137e-06
~ MDM4,-0.0407002757453365,30.70462540265911,3.045440088549743e-08,6.237337555429792e-06
~ ratio,0.0406922359290964,30.69247587485506,3.064536997150475e-08,6.237337555429792e-06
g antigen,-0.0406186777063227,30.5814290850006,3.24473874924628e-08,6.550415275002795e-06
~ METTL14,0.0404601625590724,30.342815017742495,3.6686844286481286e-08,7.346540568367877e-06
~ RBM15,0.0403603494959524,30.193047501190712,3.962689899136064e-08,7.871804230835808e-06
~ RPB1,0.0402465952854843,30.02281554483928,4.3256427468556366e-08,8.524605956124785e-06
~ TVP23C,-0.0401931687014778,29.943030133975228,4.5070395951062334e-08,8.812149620951406e-06
~ ubiquitin carboxyl terminal hydrolase,-0.040088663532889,29.787274122360095,4.883418921161935e-08,9.47345118995094e-06
positive regulation of cyclin dependent protein serine threonine kinase activity,-0.0400432726560161,29.719750030901896,5.0562263807222783e-08,9.732647849590302e-06
concert,-0.040030571101831,29.7008688106987,5.1056342155147234e-08,9.752154092726623e-06
~ ribonucleoprotein,-0.0396959290677532,29.205585539753553,6.589615263159078e-08,1.249059058011474e-05
